datetime,open,high,low,close,volume,date,bb_bbm,bb_bbh,bb_bbl,bb_vm,bb_vh,bb_vl,rsi
1644642000000,42727.97,42859.36,42221.0,42360.61,14377.798,2022-02-12 05:00:00,43326.659000000094,44149.69255736642,42503.62544263377,9867.59144000001,19023.169942959874,712.0129370401428,31.9096675444421
1644643800000,42360.62,42627.94,42216.38,42334.2,10120.826,2022-02-12 05:30:00,43272.34750000009,44200.15224975623,42344.54275024396,9941.15351000001,19068.8764159776,813.4306040224219,31.56898922613131
1644645600000,42335.99,42721.4,42283.26,42647.19,7314.238,2022-02-12 06:00:00,43235.588500000085,44200.55489693111,42270.622103069065,9876.01288000001,18999.005253202333,753.0205067976857,39.77522758054943
1644647400000,42647.55,42651.7,42408.53,42532.99,4275.146,2022-02-12 06:30:00,43195.590500000086,44206.329766722236,42184.85123327795,9842.67614000001,18979.971908759908,705.3803712401133,37.98533306943997
1644649200000,42532.99,42599.99,42100.0,42279.83,7013.186,2022-02-12 07:00:00,43129.58900000009,44196.924826359806,42062.253173640376,9865.29168000001,18992.75218899797,737.831171002048,34.300415246002984
1644651000000,42279.51,42413.79,41980.04,42144.59,8168.54,2022-02-12 07:30:00,43059.34100000009,44189.932791015286,41928.7492089849,9868.606270000013,18995.389801662284,741.8227383377397,32.487320419409315
1644652800000,42144.59,42378.0,41914.23,42302.02,9526.726,2022-02-12 08:00:00,42990.391500000085,44129.08997369974,41851.69302630043,9913.447300000009,19027.416500727933,799.4780992720897,36.683055931403096
1644654600000,42302.01,42418.24,42256.02,42366.0,4738.596,2022-02-12 08:30:00,42922.22750000008,44038.84318876229,41805.61181123788,9933.260940000013,19033.79491867723,832.7269613227909,38.359655082775404
1644656400000,42365.99,42405.0,42221.91,42254.11,4118.225,2022-02-12 09:00:00,42856.25200000008,43967.03248728767,41745.47151271249,9924.88785000001,19030.3816511821,819.3940488179232,36.53752194337818
1644658200000,42254.1,42369.0,42210.0,42314.89,2930.395,2022-02-12 09:30:00,42797.32650000008,43891.56938024461,41703.08361975556,9921.08773000001,19029.420105116227,812.7553548837932,38.2533467477704
1644660000000,42314.88,42491.19,42252.45,42402.49,3504.525,2022-02-12 10:00:00,42737.40900000009,43779.07086315473,41695.74713684544,9922.45121000001,19029.812692824733,815.0897271752907,40.74016720380809
1644661800000,42402.5,42450.0,42330.0,42439.51,1917.774,2022-02-12 10:30:00,42676.941000000086,43637.16516809355,41716.71683190663,9910.39187000001,19027.54094365049,793.242796349532,41.80681279683952
1644663600000,42439.51,42468.0,42340.0,42370.21,2304.302,2022-02-12 11:00:00,42617.97950000009,43498.14454096329,41737.81445903689,9864.12618000001,19007.97751858005,720.274841419965,40.34292234075776
1644665400000,42370.2,42443.0,42340.0,42441.01,1554.144,2022-02-12 11:30:00,42561.79050000008,43329.27685209616,41794.30414790402,9850.307890000013,19005.655580305243,694.9601996947804,42.5559717645813
1644667200000,42441.01,42447.5,42150.0,42210.01,3931.956,2022-02-12 12:00:00,42497.293000000085,43146.22527113375,41848.36072886642,9858.960040000009,19008.29977377891,709.6203062211134,37.64867582684538
1644669000000,42210.02,42333.0,42184.73,42279.98,2182.47,2022-02-12 12:30:00,42441.056500000086,42944.27293693917,41937.840063061005,9852.545300000009,19007.038562968075,698.0520370319446,39.90902516107925
1644670800000,42279.99,42418.0,42215.24,42362.0,2569.435,2022-02-12 13:00:00,42392.49700000009,42685.52299188246,42099.47100811772,9849.50364000001,19006.365437091124,692.6418429088934,42.53867599149951
1644672600000,42362.01,42405.45,42250.01,42286.33,2216.355,2022-02-12 13:30:00,42374.166000000085,42644.73440726642,42103.597592733764,9800.84511000001,18985.169834687,616.5203853130224,40.7662103321125
